pack_family,project,pack_type,batch,pack_no,card_in_pack,ovr,card_name,date_opened,coin_value_override
mystery,original,Deep Shot,pack-original-73,73,1,88,,,
mystery,original,Deep Shot,pack-original-73,73,2,81,,,
mystery,original,Deep Shot,pack-original-73,73,3,91,,,
mystery,original,Deep Shot,pack-original-73,73,4,80,,,
mystery,original,Deep Shot,pack-original-73,73,5,88,,,
mystery,original,Deep Shot,pack-original-74,74,1,80,,,
mystery,original,Deep Shot,pack-original-74,74,2,88,,,
mystery,original,Deep Shot,pack-original-74,74,3,81,,,
mystery,original,Deep Shot,pack-original-74,74,4,84,,,
mystery,original,Deep Shot,pack-original-74,74,5,80,,,
mystery,original,Deep Shot,pack-original-75,75,1,81,,,
mystery,original,Deep Shot,pack-original-75,75,2,88,,,
mystery,original,Deep Shot,pack-original-75,75,3,81,,,
mystery,original,Deep Shot,pack-original-75,75,4,84,,,
mystery,original,Deep Shot,pack-original-75,75,5,84,,,
mystery,original,Snap Fantasy,pack-original-106,106,3,92,,,
mystery,original,Snap Fantasy,pack-original-108,108,5,84,,,
mystery,original,Snap Fantasy,pack-original-105,105,5,93,,,
mystery,original,Snap Fantasy,pack-original-109,109,1,82,,,
mystery,original,Snap Fantasy,pack-original-106,106,1,93,,,
mystery,original,Snap Fantasy,pack-original-105,105,2,96,,,
mystery,original,70+ Gold Player,pack-original-8,8,1,82,Ed Too Tall Jones,,
mystery,original,Snap Fantasy,pack-original-105,105,3,96,,,
mystery,original,Snap Fantasy,pack-original-108,108,2,87,,,
mystery,original,Snap Fantasy,pack-original-106,106,4,92,,,
mystery,original,Snap Fantasy,pack-original-108,108,4,86,,,
mystery,original,Snap Fantasy,pack-original-105,105,1,97,,,
mystery,original,Snap Fantasy,pack-original-109,109,3,81,,,
mystery,original,Snap Fantasy,pack-original-106,106,5,92,,,
mystery,original,Snap Fantasy,pack-original-109,109,4,81,,,
mystery,original,Snap Fantasy,pack-original-105,105,4,94,,,
mystery,original,Snap Fantasy,pack-original-109,109,5,81,,,
mystery,original,Snap Fantasy,pack-original-106,106,2,93,,,
mystery,original,Snap Fantasy,pack-original-107,107,1,92,,,
mystery,original,Snap Fantasy,pack-original-87,87,1,91,,,
mystery,original,Snap Fantasy,pack-original-87,87,2,83,,,
mystery,original,Snap Fantasy,pack-original-87,87,3,92,,,
mystery,original,Snap Fantasy,pack-original-87,87,4,83,,,
mystery,original,Snap Fantasy,pack-original-87,87,5,85,,,
mystery,original,Snap Fantasy,pack-original-109,109,2,82,,,
mystery,original,Snap Fantasy,pack-original-88,88,1,89,,,
mystery,original,Snap Fantasy,pack-original-88,88,2,89,,,
mystery,original,Snap Fantasy,pack-original-88,88,3,92,,,
mystery,original,Snap Fantasy,pack-original-88,88,4,82,,,
mystery,original,Snap Fantasy,pack-original-88,88,5,85,,,
mystery,original,Snap Fantasy,pack-original-108,108,3,87,,,
mystery,original,Snap Fantasy,pack-original-89,89,1,88,,,
mystery,original,Snap Fantasy,pack-original-89,89,2,87,,,
mystery,original,Snap Fantasy,pack-original-89,89,3,85,,,
mystery,original,Snap Fantasy,pack-original-89,89,4,85,,,
mystery,original,Snap Fantasy,pack-original-89,89,5,82,,,
mystery,original,Snap Fantasy,pack-original-107,107,5,88,,,
mystery,original,70+ Gold Player,pack-original-9,9,1,82,Justin Eboigbe,,
mystery,original,Snap Fantasy,pack-original-90,90,1,88,,,
mystery,original,Snap Fantasy,pack-original-90,90,2,88,,,
mystery,original,Snap Fantasy,pack-original-90,90,3,88,,,
mystery,original,Snap Fantasy,pack-original-90,90,4,92,,,
mystery,original,Snap Fantasy,pack-original-90,90,5,88,,,
mystery,original,Snap Fantasy,pack-original-107,107,3,89,,,
mystery,original,Snap Fantasy,pack-original-91,91,1,89,,,
mystery,original,Snap Fantasy,pack-original-91,91,2,88,,,
mystery,original,Snap Fantasy,pack-original-91,91,3,92,,,
mystery,original,Snap Fantasy,pack-original-91,91,4,93,,,
mystery,original,Snap Fantasy,pack-original-91,91,5,88,,,
mystery,original,Snap Fantasy,pack-original-108,108,1,88,,,
mystery,original,Snap Fantasy,pack-original-92,92,1,89,,,
mystery,original,Snap Fantasy,pack-original-92,92,2,89,,,
mystery,original,Snap Fantasy,pack-original-92,92,3,89,,,
mystery,original,Snap Fantasy,pack-original-92,92,4,88,,,
mystery,original,Snap Fantasy,pack-original-92,92,5,91,,,
mystery,original,Snap Fantasy,pack-original-107,107,4,89,,,
mystery,original,Snap Fantasy,pack-original-93,93,1,92,,,
mystery,original,Snap Fantasy,pack-original-93,93,2,89,,,
mystery,original,Snap Fantasy,pack-original-93,93,3,91,,,
mystery,original,Snap Fantasy,pack-original-93,93,4,91,,,
mystery,original,Snap Fantasy,pack-original-93,93,5,90,,,
mystery,original,Snap Fantasy,pack-original-107,107,2,90,,,
mystery,original,NFL Draft,pack-original-94,94,1,91,,,
mystery,original,NFL Draft,pack-original-94,94,2,89,,,
mystery,original,NFL Draft,pack-original-94,94,3,92,,,
mystery,original,NFL Draft,pack-original-94,94,4,89,,,
mystery,original,NFL Draft,pack-original-95,95,1,90,,,
mystery,original,NFL Draft,pack-original-95,95,2,92,,,
mystery,original,NFL Draft,pack-original-95,95,3,89,,,
mystery,original,NFL Draft,pack-original-95,95,4,89,,,
mystery,original,NFL Draft,pack-original-96,96,1,91,,,
mystery,original,NFL Draft,pack-original-96,96,2,89,,,
mystery,original,NFL Draft,pack-original-96,96,3,91,,,
mystery,original,NFL Draft,pack-original-96,96,4,89,,,
mystery,original,NFL Draft,pack-original-97,97,1,90,,,
mystery,original,NFL Draft,pack-original-97,97,2,89,,,
mystery,original,NFL Draft,pack-original-97,97,3,89,,,
mystery,original,NFL Draft,pack-original-97,97,4,89,,,
mystery,mystery-2,70+ Gold Player,70plus-mystery2-1,1,1,85,Derick Hall,,
mystery,mystery-2,70+ Gold Player,70plus-mystery2-3,3,1,88,Trey Smith,,
mystery,mystery-2,70+ Gold Player,70plus-mystery2-4,4,1,78,Jason Peters,,
mystery,mystery-2,70+ Gold Player,70plus-mystery2-5,5,1,76,Princely Umanmielen,,
mystery,mystery-2,70+ Gold Player,70plus-mystery2-6,6,1,84,Zion Johnson,,
mystery,mystery-2,70+ Gold Player,70plus-mystery2-7,7,1,82,Jimmy Smith,,
mystery,mystery-2,70+ Gold Player,70plus-mystery2-8,8,1,87,Rasul Douglas,,
mystery,mystery-2,70+ Gold Player,70plus-mystery2-9,9,1,78,Lloyd Cushenberry III,,
mystery,mystery-2,70+ Gold Player,70plus-mystery2-10,10,1,81,Michael Wilson,,
mystery,mystery-2,70+ Gold Player,70plus-mystery2-11,11,1,86,Zyon McCollum,,
mystery,mystery-2,70+ Gold Player,70plus-mystery2-12,12,1,76,Mo Alie-Cox,,
mystery,mystery-2,70+ Gold Player,70plus-mystery2-13,13,1,81,Jaycee Horn,,
mystery,mystery-2,70+ Gold Player,70plus-mystery2-2,2,1,84,Anthony Bradford,,
mystery,mystery-2,70+ Gold Player,70plus-mystery2-14,14,1,81,Logan Wilson,,
mystery,mystery-2,Collector Series,collector-mystery2-1,1,1,92,Trey Hendrickson,,
mystery,mystery-2,Collector Series,collector-mystery2-1,1,2,83,Charles Tillman,,
mystery,mystery-2,Collector Series,collector-mystery2-2,2,1,94,Jaelan Phillips,,
mystery,mystery-2,Collector Series,collector-mystery2-2,2,2,88,Anton Harrison,,
mystery,mystery-2,Collector Series,collector-mystery2-4,4,1,92,Peyton Hillis,,
mystery,mystery-2,Collector Series,collector-mystery2-4,4,2,80,Teven Jenkins,,
mystery,mystery-2,Collector Series,collector-mystery2-3,4,1,93,Montaric Brown,,
mystery,mystery-2,Collector Series,collector-mystery2-3,4,2,86,Zay Flowers,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-1,1,1,85,D'Andre Swift,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-1,1,2,86,Matthew Stafford,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-1,1,3,90,Raheem Mostert,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-1,1,4,88,Nick Martin,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-1,1,5,83,Harrison Butker,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-9,9,1,89,Bhayshul Tuten,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-9,9,2,89,Robert Spillane,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-9,9,3,90,Will Shields,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-9,9,4,91,Penei Sewell,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-9,9,5,90,Jack Fox,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-2,2,1,88,Anton Harrison,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-2,2,2,94,Nakobe Dean,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-2,2,3,91,Trevor Penning,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-2,2,4,88,Ty'Ron Hopper,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-2,2,5,82,DeForest Buckner,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-23,23,2,90,Coby Bryant,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-25,25,2,84,Nick Bosa,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-23,23,4,88,Cole Strange,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-25,25,1,85,Dell Pettus,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-3,3,1,95,Philip Rivers,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-3,3,2,91,J.J. McCarthy,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-3,3,3,84,Mike Jackson,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-3,3,4,88,Zach Harrison,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-3,3,5,79,Evan Williams,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-11,11,1,82,Zach Thomas,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-11,11,2,76,Kader Kohou,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-11,11,3,88,Owen Daniels,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-11,11,4,89,Steve Atwater,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-11,11,5,95,Damien Woody,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-23,23,3,89,Jake Tonges,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-23,23,1,92,Tre'von Moehrig,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-4,4,1,81,George Karlaftis,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-4,4,2,88,Alge Crumpler,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-4,4,3,88,Alex Ward,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-4,4,4,77,Jordan Stout,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-4,4,5,88,Dylan Sampson,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-13,13,1,76,Amik Robertson,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-13,13,2,77,Jordan Battle,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-13,13,3,87,Roman Wilson,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-13,13,4,90,Teven Jenkins,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-13,13,5,88,DeAndre Hopkins,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-23,23,5,88,Edgerrin Cooper,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-25,25,4,80,Kevin Byard III,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-5,5,1,83,KaVontae Turpin,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-5,5,2,90,Chris Spielman,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-5,5,3,83,Cobie Durant,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-5,5,4,88,Deonte Banks,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-5,5,5,85,Donovan Wilson,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-15,15,1,88,Max Melton,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-15,15,2,82,Colston Loveland,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-15,15,3,85,KeAndre Lambert-Smith,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-15,15,4,90,Dan Dierdorf,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-15,15,5,81,Henry To'oTo'o,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-24,24,1,88,Max Melton,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-6,6,1,89,Hugh Green,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-6,6,2,82,Greg Rousseau,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-6,6,3,88,Zyon McCollum,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-6,6,4,88,Anton Harrison,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-6,6,5,90,Sauce Gardner,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-17,17,1,89,Fred Biletnikoff,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-17,17,2,88,Ahkello Witherspoon,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-17,17,3,81,Mason Tipton,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-17,17,4,78,Tucker Kraft,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-17,17,5,85,Patrick Chung,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-24,24,2,88,Michael Bennett,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-24,24,3,88,Parker Washington,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-7,7,1,81,George Holani,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-7,7,2,88,Alge Crumpler,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-7,7,3,88,Jihaad Campbell,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-7,7,4,81,O'Cyrus Torrence,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-7,7,5,82,Colston Loveland,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-19,19,1,89,Maurice Jones-Drew,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-19,19,2,88,DeAndre Hopkins,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-19,19,3,86,Abdul Carter,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-19,19,4,76,Mykal Walker,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-19,19,5,88,Sheldon Rankins,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-24,24,4,88,Xavier Legette,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-25,25,3,84,Trey Hendrickson,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-8,8,1,81,A.J. Terrell Jr,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-8,8,2,88,Tyrod Taylor,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-8,8,3,91,Coleman Shelton,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-8,8,4,88,Antrel Rolle,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-8,8,5,82,Robert Hainsey,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-21,21,1,91,Isaac Seumalo,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-21,21,2,89,John Randle,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-21,21,3,88,Larry Little,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-21,21,4,81,Daiyan Henley,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-21,21,5,88,Cooper Beebe,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-25,25,5,80,Jaylen Waddle,,
mystery,mystery-2,Deep Shot,deepshot-mystery2-24,24,5,87,Cameron Jordan,,
mystery,mystery-2,NFL Draft,nfl-draft-mystery2-1,1,1,93,Shedeur Sanders,,
mystery,mystery-2,NFL Draft,nfl-draft-mystery2-1,1,2,92,DJ Turner II,,
mystery,mystery-2,NFL Draft,nfl-draft-mystery2-1,1,3,89,Tory Taylor,,
mystery,mystery-2,NFL Draft,nfl-draft-mystery2-1,1,4,89,Kobee Minor,,
mystery,mystery-2,NFL Draft,nfl-draft-mystery2-2,2,1,89,Kobee Minor,,
mystery,mystery-2,NFL Draft,nfl-draft-mystery2-2,2,2,90,Peter Skoronski,,
mystery,mystery-2,NFL Draft,nfl-draft-mystery2-2,2,3,90,Jevon Kearse,,
mystery,mystery-2,NFL Draft,nfl-draft-mystery2-2,2,4,90,Terrell Davis,,
mystery,mystery-2,NFL Draft,nfl-draft-mystery2-3,3,1,89,Kobee Minor,,
mystery,mystery-2,NFL Draft,nfl-draft-mystery2-3,3,2,89,Alex Austin,,
mystery,mystery-2,NFL Draft,nfl-draft-mystery2-3,3,3,90,Matthew Stafford,,
mystery,mystery-2,NFL Draft,nfl-draft-mystery2-3,3,4,90,Terrell Davis,,
mystery,mystery-2,NFL Draft,nfl-draft-mystery2-4,4,1,90,Andre Cisco,,
mystery,mystery-2,NFL Draft,nfl-draft-mystery2-4,4,2,89,Cal Adomitis,,
mystery,mystery-2,NFL Draft,nfl-draft-mystery2-4,4,3,89,Tory Taylor,,
mystery,mystery-2,NFL Draft,nfl-draft-mystery2-4,4,4,90,Harry Carson,,
mystery,mystery-2,Reel Deals,reeldeals-mystery2-1,1,1,90,Cris Collinsworth,,
