project,card_id,batch,pack_type,pack_no,card_in_pack,ovr,name,position,training_value,is_platinum,manual_value,value_used,note,date_opened
original,54,pack-original-51,Deep Shot,51,1,87,,N/A,2700,False,1620,1620,unidentified; pack_type inferred,
original,55,pack-original-51,Deep Shot,51,2,87,,N/A,2700,False,1620,1620,unidentified; pack_type inferred,
original,56,pack-original-51,Deep Shot,51,3,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,57,pack-original-51,Deep Shot,51,4,83,,N/A,430,False,258,258,unidentified; pack_type inferred,
original,58,pack-original-51,Deep Shot,51,5,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,59,pack-original-52,Deep Shot,52,1,87,,N/A,2700,False,1620,1620,unidentified; pack_type inferred,
original,60,pack-original-52,Deep Shot,52,2,91,,N/A,16700,False,10020,10020,unidentified; pack_type inferred,
original,61,pack-original-52,Deep Shot,52,3,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,62,pack-original-52,Deep Shot,52,4,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,63,pack-original-52,Deep Shot,52,5,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,64,pack-original-53,Deep Shot,53,1,90,,N/A,10600,False,6360,6360,unidentified; pack_type inferred,
original,65,pack-original-53,Deep Shot,53,2,85,,N/A,1080,False,648,648,unidentified; pack_type inferred,
original,66,pack-original-53,Deep Shot,53,3,80,,N/A,110,False,66,66,unidentified; pack_type inferred,
original,67,pack-original-53,Deep Shot,53,4,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,68,pack-original-53,Deep Shot,53,5,87,,N/A,2700,False,1620,1620,unidentified; pack_type inferred,
original,69,pack-original-54,Deep Shot,54,1,80,,N/A,110,False,66,66,unidentified; pack_type inferred,
original,70,pack-original-54,Deep Shot,54,2,79,,N/A,69,False,41.4,41.4,unidentified; pack_type inferred,
original,71,pack-original-54,Deep Shot,54,3,92,,N/A,26000,False,15600,15600,unidentified; pack_type inferred,
original,72,pack-original-54,Deep Shot,54,4,85,,N/A,1080,False,648,648,unidentified; pack_type inferred,
original,73,pack-original-54,Deep Shot,54,5,91,,N/A,16700,False,10020,10020,unidentified; pack_type inferred,
original,74,pack-original-55,Deep Shot,55,1,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,75,pack-original-55,Deep Shot,55,2,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,76,pack-original-55,Deep Shot,55,3,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,77,pack-original-55,Deep Shot,55,4,85,,N/A,1080,False,648,648,unidentified; pack_type inferred,
original,78,pack-original-55,Deep Shot,55,5,80,,N/A,110,False,66,66,unidentified; pack_type inferred,
original,79,pack-original-56,Deep Shot,56,1,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,80,pack-original-56,Deep Shot,56,2,87,,N/A,2700,False,1620,1620,unidentified; pack_type inferred,
original,81,pack-original-56,Deep Shot,56,3,80,,N/A,110,False,66,66,unidentified; pack_type inferred,
original,82,pack-original-56,Deep Shot,56,4,79,,N/A,69,False,41.4,41.4,unidentified; pack_type inferred,
original,83,pack-original-56,Deep Shot,56,5,85,,N/A,1080,False,648,648,unidentified; pack_type inferred,
original,84,pack-original-57,Deep Shot,57,1,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,85,pack-original-57,Deep Shot,57,2,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,86,pack-original-57,Deep Shot,57,3,85,,N/A,1080,False,648,648,unidentified; pack_type inferred,
original,87,pack-original-57,Deep Shot,57,4,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,88,pack-original-57,Deep Shot,57,5,80,,N/A,110,False,66,66,unidentified; pack_type inferred,
original,89,pack-original-58,Deep Shot,58,1,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,90,pack-original-58,Deep Shot,58,2,85,,N/A,1080,False,648,648,unidentified; pack_type inferred,
original,91,pack-original-58,Deep Shot,58,3,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,92,pack-original-58,Deep Shot,58,4,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,93,pack-original-58,Deep Shot,58,5,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,94,pack-original-59,Deep Shot,59,1,80,,N/A,110,False,66,66,unidentified; pack_type inferred,
original,95,pack-original-59,Deep Shot,59,2,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,96,pack-original-59,Deep Shot,59,3,85,,N/A,1080,False,648,648,unidentified; pack_type inferred,
original,97,pack-original-59,Deep Shot,59,4,83,,N/A,430,False,258,258,unidentified; pack_type inferred,
original,98,pack-original-59,Deep Shot,59,5,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,99,pack-original-6,Reel Deals,6,1,90,Adam Jones,CB,10600,False,6360,6360,pack_type inferred,
original,100,pack-original-6,Reel Deals,6,2,94,Bud Dupree,RE,66000,False,39600,39600,pack_type inferred,
original,101,pack-original-60,Deep Shot,60,1,80,,N/A,110,False,66,66,unidentified; pack_type inferred,
original,102,pack-original-60,Deep Shot,60,2,87,,N/A,2700,False,1620,1620,unidentified; pack_type inferred,
original,103,pack-original-60,Deep Shot,60,3,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,104,pack-original-60,Deep Shot,60,4,86,,N/A,1700,False,1020,1020,unidentified; pack_type inferred,
original,105,pack-original-60,Deep Shot,60,5,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,106,pack-original-61,Deep Shot,61,1,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,107,pack-original-61,Deep Shot,61,2,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,108,pack-original-61,Deep Shot,61,3,87,,N/A,2700,False,1620,1620,unidentified; pack_type inferred,
original,109,pack-original-61,Deep Shot,61,4,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,110,pack-original-61,Deep Shot,61,5,85,,N/A,1080,False,648,648,unidentified; pack_type inferred,
original,111,pack-original-62,Deep Shot,62,1,83,,N/A,430,False,258,258,unidentified; pack_type inferred,
original,112,pack-original-62,Deep Shot,62,2,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,113,pack-original-62,Deep Shot,62,3,80,,N/A,110,False,66,66,unidentified; pack_type inferred,
original,114,pack-original-62,Deep Shot,62,4,71,,N/A,2,False,1.2,1.2,unidentified; pack_type inferred,
original,115,pack-original-62,Deep Shot,62,5,78,,N/A,44,False,26.4,26.4,unidentified; pack_type inferred,
original,116,pack-original-63,Deep Shot,63,1,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,117,pack-original-63,Deep Shot,63,2,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,118,pack-original-63,Deep Shot,63,3,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,119,pack-original-63,Deep Shot,63,4,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,120,pack-original-63,Deep Shot,63,5,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,121,pack-original-64,Deep Shot,64,1,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,122,pack-original-64,Deep Shot,64,2,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,123,pack-original-64,Deep Shot,64,3,90,,N/A,10600,False,6360,6360,unidentified; pack_type inferred,
original,124,pack-original-64,Deep Shot,64,4,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,125,pack-original-64,Deep Shot,64,5,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,126,pack-original-65,Deep Shot,65,1,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,127,pack-original-65,Deep Shot,65,2,78,,N/A,44,False,26.4,26.4,unidentified; pack_type inferred,
original,128,pack-original-65,Deep Shot,65,3,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,129,pack-original-65,Deep Shot,65,4,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,130,pack-original-65,Deep Shot,65,5,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,131,pack-original-66,Deep Shot,66,1,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,132,pack-original-66,Deep Shot,66,2,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,133,pack-original-66,Deep Shot,66,3,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,134,pack-original-66,Deep Shot,66,4,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,135,pack-original-66,Deep Shot,66,5,90,,N/A,10600,False,6360,6360,unidentified; pack_type inferred,
original,136,pack-original-67,Deep Shot,67,1,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,137,pack-original-67,Deep Shot,67,2,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,138,pack-original-67,Deep Shot,67,3,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,139,pack-original-67,Deep Shot,67,4,78,,N/A,44,False,26.4,26.4,unidentified; pack_type inferred,
original,140,pack-original-67,Deep Shot,67,5,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,141,pack-original-68,Deep Shot,68,1,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,142,pack-original-68,Deep Shot,68,2,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,143,pack-original-68,Deep Shot,68,3,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,144,pack-original-68,Deep Shot,68,4,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,145,pack-original-68,Deep Shot,68,5,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,146,pack-original-69,Deep Shot,69,1,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,147,pack-original-69,Deep Shot,69,2,90,,N/A,10600,False,6360,6360,unidentified; pack_type inferred,
original,148,pack-original-69,Deep Shot,69,3,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,149,pack-original-69,Deep Shot,69,4,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,150,pack-original-69,Deep Shot,69,5,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,151,pack-original-7,Reel Deals,7,1,91,Ryan Wright,P,16700,False,10020,10020,pack_type inferred,
original,152,pack-original-7,Reel Deals,7,2,90,Ray Lewis,MIKE,10600,False,6360,6360,pack_type inferred,
original,153,pack-original-70,Deep Shot,70,1,78,,N/A,44,False,26.4,26.4,unidentified; pack_type inferred,
original,154,pack-original-70,Deep Shot,70,2,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,155,pack-original-70,Deep Shot,70,3,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,156,pack-original-70,Deep Shot,70,4,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,157,pack-original-70,Deep Shot,70,5,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,158,pack-original-71,Deep Shot,71,1,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,159,pack-original-71,Deep Shot,71,2,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,160,pack-original-71,Deep Shot,71,3,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,161,pack-original-71,Deep Shot,71,4,80,,N/A,110,False,66,66,unidentified; pack_type inferred,
original,162,pack-original-71,Deep Shot,71,5,80,,N/A,110,False,66,66,unidentified; pack_type inferred,
original,163,pack-original-72,Deep Shot,72,1,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,164,pack-original-72,Deep Shot,72,2,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,165,pack-original-72,Deep Shot,72,3,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,166,pack-original-72,Deep Shot,72,4,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,167,pack-original-72,Deep Shot,72,5,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,168,pack-original-73,Deep Shot,73,1,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,169,pack-original-73,Deep Shot,73,2,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,170,pack-original-73,Deep Shot,73,3,91,,N/A,16700,False,10020,10020,unidentified; pack_type inferred,
original,171,pack-original-73,Deep Shot,73,4,80,,N/A,110,False,66,66,unidentified; pack_type inferred,
original,172,pack-original-73,Deep Shot,73,5,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,173,pack-original-74,Deep Shot,74,1,80,,N/A,110,False,66,66,unidentified; pack_type inferred,
original,174,pack-original-74,Deep Shot,74,2,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,175,pack-original-74,Deep Shot,74,3,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,176,pack-original-74,Deep Shot,74,4,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,177,pack-original-74,Deep Shot,74,5,80,,N/A,110,False,66,66,unidentified; pack_type inferred,
original,178,pack-original-75,Deep Shot,75,1,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,179,pack-original-75,Deep Shot,75,2,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,180,pack-original-75,Deep Shot,75,3,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,181,pack-original-75,Deep Shot,75,4,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,182,pack-original-75,Deep Shot,75,5,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,183,pack-original-106,Snap Fantasy,106,3,92,,N/A,26000,False,15600,15600,unidentified; pack_type inferred,
original,184,pack-original-108,Snap Fantasy,108,5,84,,N/A,680,False,408,408,unidentified; pack_type inferred,
original,185,pack-original-105,Snap Fantasy,105,5,93,,N/A,42000,False,25200,25200,unidentified; pack_type inferred,
original,186,pack-original-109,Snap Fantasy,109,1,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,187,pack-original-106,Snap Fantasy,106,1,93,,N/A,42000,False,25200,25200,unidentified; pack_type inferred,
original,188,pack-original-105,Snap Fantasy,105,2,96,,N/A,160000,False,96000,96000,unidentified; pack_type inferred,
original,189,pack-original-8,70+ Gold Player,8,1,82,Ed Too Tall Jones,LE,270,False,162,162,pack_type inferred,
original,190,pack-original-105,Snap Fantasy,105,3,96,,N/A,160000,False,96000,96000,unidentified; pack_type inferred,
original,191,pack-original-108,Snap Fantasy,108,2,87,,N/A,2700,False,1620,1620,unidentified; pack_type inferred,
original,192,pack-original-106,Snap Fantasy,106,4,92,,N/A,26000,False,15600,15600,unidentified; pack_type inferred,
original,193,pack-original-108,Snap Fantasy,108,4,86,,N/A,1700,False,1020,1020,unidentified; pack_type inferred,
original,194,pack-original-105,Snap Fantasy,105,1,97,,N/A,260000,False,156000,156000,unidentified; pack_type inferred,
original,195,pack-original-109,Snap Fantasy,109,3,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,196,pack-original-106,Snap Fantasy,106,5,92,,N/A,26000,False,15600,15600,unidentified; pack_type inferred,
original,197,pack-original-109,Snap Fantasy,109,4,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,198,pack-original-105,Snap Fantasy,105,4,94,,N/A,66000,False,39600,39600,unidentified; pack_type inferred,
original,199,pack-original-109,Snap Fantasy,109,5,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,200,pack-original-106,Snap Fantasy,106,2,93,,N/A,42000,False,25200,25200,unidentified; pack_type inferred,
original,201,pack-original-107,Snap Fantasy,107,1,92,,N/A,26000,False,15600,15600,unidentified; pack_type inferred,
original,202,pack-original-87,Snap Fantasy,87,1,91,,N/A,16700,False,10020,10020,unidentified; pack_type inferred,
original,203,pack-original-87,Snap Fantasy,87,2,83,,N/A,430,False,258,258,unidentified; pack_type inferred,
original,204,pack-original-87,Snap Fantasy,87,3,92,,N/A,26000,False,15600,15600,unidentified; pack_type inferred,
original,205,pack-original-87,Snap Fantasy,87,4,83,,N/A,430,False,258,258,unidentified; pack_type inferred,
original,206,pack-original-87,Snap Fantasy,87,5,85,,N/A,1080,False,648,648,unidentified; pack_type inferred,
original,207,pack-original-109,Snap Fantasy,109,2,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,208,pack-original-88,Snap Fantasy,88,1,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,209,pack-original-88,Snap Fantasy,88,2,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,210,pack-original-88,Snap Fantasy,88,3,92,,N/A,26000,False,15600,15600,unidentified; pack_type inferred,
original,211,pack-original-88,Snap Fantasy,88,4,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,212,pack-original-88,Snap Fantasy,88,5,85,,N/A,1080,False,648,648,unidentified; pack_type inferred,
original,213,pack-original-108,Snap Fantasy,108,3,87,,N/A,2700,False,1620,1620,unidentified; pack_type inferred,
original,214,pack-original-89,Snap Fantasy,89,1,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,215,pack-original-89,Snap Fantasy,89,2,87,,N/A,2700,False,1620,1620,unidentified; pack_type inferred,
original,216,pack-original-89,Snap Fantasy,89,3,85,,N/A,1080,False,648,648,unidentified; pack_type inferred,
original,217,pack-original-89,Snap Fantasy,89,4,85,,N/A,1080,False,648,648,unidentified; pack_type inferred,
original,218,pack-original-89,Snap Fantasy,89,5,82,,N/A,270,False,162,162,unidentified; pack_type inferred,
original,219,pack-original-107,Snap Fantasy,107,5,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,220,pack-original-9,70+ Gold Player,9,1,82,Justin Eboigbe,DT,270,False,162,162,pack_type inferred,
original,221,pack-original-90,Snap Fantasy,90,1,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,222,pack-original-90,Snap Fantasy,90,2,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,223,pack-original-90,Snap Fantasy,90,3,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,224,pack-original-90,Snap Fantasy,90,4,92,,N/A,26000,False,15600,15600,unidentified; pack_type inferred,
original,225,pack-original-90,Snap Fantasy,90,5,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,226,pack-original-107,Snap Fantasy,107,3,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,227,pack-original-91,Snap Fantasy,91,1,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,228,pack-original-91,Snap Fantasy,91,2,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,229,pack-original-91,Snap Fantasy,91,3,92,,N/A,26000,False,15600,15600,unidentified; pack_type inferred,
original,230,pack-original-91,Snap Fantasy,91,4,93,,N/A,42000,False,25200,25200,unidentified; pack_type inferred,
original,231,pack-original-91,Snap Fantasy,91,5,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,232,pack-original-108,Snap Fantasy,108,1,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,233,pack-original-92,Snap Fantasy,92,1,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,234,pack-original-92,Snap Fantasy,92,2,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,235,pack-original-92,Snap Fantasy,92,3,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,236,pack-original-92,Snap Fantasy,92,4,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,237,pack-original-92,Snap Fantasy,92,5,91,,N/A,16700,False,10020,10020,unidentified; pack_type inferred,
original,238,pack-original-107,Snap Fantasy,107,4,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,239,pack-original-93,Snap Fantasy,93,1,92,,N/A,26000,False,15600,15600,unidentified; pack_type inferred,
original,240,pack-original-93,Snap Fantasy,93,2,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,241,pack-original-93,Snap Fantasy,93,3,91,,N/A,16700,False,10020,10020,unidentified; pack_type inferred,
original,242,pack-original-93,Snap Fantasy,93,4,91,,N/A,16700,False,10020,10020,unidentified; pack_type inferred,
original,243,pack-original-93,Snap Fantasy,93,5,90,,N/A,10600,False,6360,6360,unidentified; pack_type inferred,
original,244,pack-original-107,Snap Fantasy,107,2,90,,N/A,10600,False,6360,6360,unidentified; pack_type inferred,
original,245,pack-original-94,NFL Draft,94,1,91,,N/A,16700,False,10020,10020,unidentified; pack_type inferred,
original,246,pack-original-94,NFL Draft,94,2,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,247,pack-original-94,NFL Draft,94,3,92,,N/A,26000,False,15600,15600,unidentified; pack_type inferred,
original,248,pack-original-94,NFL Draft,94,4,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,249,pack-original-95,NFL Draft,95,1,90,,N/A,10600,False,6360,6360,unidentified; pack_type inferred,
original,250,pack-original-95,NFL Draft,95,2,92,,N/A,26000,False,15600,15600,unidentified; pack_type inferred,
original,251,pack-original-95,NFL Draft,95,3,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,252,pack-original-95,NFL Draft,95,4,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,253,pack-original-96,NFL Draft,96,1,91,,N/A,16700,False,10020,10020,unidentified; pack_type inferred,
original,254,pack-original-96,NFL Draft,96,2,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,255,pack-original-96,NFL Draft,96,3,91,,N/A,16700,False,10020,10020,unidentified; pack_type inferred,
original,256,pack-original-96,NFL Draft,96,4,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
